Investment	Q	Cash	Debt
17.749	0.66007	0.15122	0.3315
3.948	0.52889	0.11523	0.56233
14.81	3.74803	0.57099	0.12111
2.256	1.98906	0.23719	0.37721
3.957	0.77859	0.08865	0.10784
3.667	0.6751	0.13768	0.37178
6.914	0.48753	0.19545	0.55508
0.22	1.27624	0.28662	0
2.768	0.40044	-0.01037	0.02873
11.583	0.98771	0.18916	0.3013
3.853	0.29056	0.06856	0.04865
3.072	0.35308	-0.0756	0.88146
9.022	0.31055	-0.0421	0.43254
10.9	2.13952	0.46524	0
4.102	0.26576	0.00469	0.90381
3.31	0.06793	-0.0207	0.2919
7.751	0.57948	0.11633	0.231
7.628	0.37493	0.13701	0.30315
4.861	0.44808	0.07637	0.41808
8.469	0.70777	0.12407	0.49439
3.259	0.3022	0.07621	0.50756
5.735	0.3445	0.09988	0.22268
2.717	0.73405	0.17989	0.33655
13.553	1.13015	0.2848	0.14475
8.2	1.15049	0.36033	0.2122
5.325	1.32265	0.2961	0
13.456	0.62879	0.08403	0.52834
10.939	3.70709	0.701	0.01721
4.878	0.13985	0.16013	0.43689
10.135	4.38361	0.27288	0.14356
12.968	0.6801	0.2692	0.21151
4.231	0.48816	0.04135	0.2559
12.527	2.19931	0.33165	0.77767
12.837	3.7771	0.57034	0.07398
12.859	2.23396	0.32122	0.16656
3.337	3.8411	0.38296	0
13.478	0.67742	0.34269	0.45614
32.906	2.49538	0.43603	0.04804
12.116	2.52868	0.40049	0.29836
1.687	0.30171	0.05855	0.22849
17.587	1.19648	0.34732	0.06624
9.457	0.46298	0.1837	0.76913
7.449	0.68016	0.23856	0.5366
0.8	0.35695	0.04891	0.10396
10.679	0.58758	0.11106	0.28372
6.897	0.58181	0.12775	0.38643
13.918	1.17847	0.2416	0.16131
6.357	1.46906	0.39188	0.69603
12.713	1.01108	0.20509	0.35401
5.736	1.03691	0.19515	0.65627
4.216	0.5116	0.23787	0.24949
16.773	0.77163	0.31677	0.12971
14.463	6.17115	0.98088	0.07321
19.667	1.20886	0.32214	0.34206
14.689	3.09066	0.42338	0.1857
9.88	0.67463	0.20592	0.01349
8.21	0.83544	0.41652	0.54073
8.192	0.96823	0.30507	0.07433
6.143	1.15921	0.15556	0
9.188	1.94599	0.51412	0.41855
6.136	0.92476	0.15059	0.405
14.359	1.82163	0.25476	0.48149
3.329	0.69869	0.13969	0.65684
15.282	1.15148	0.23834	0.32021
7.151	0.82008	0.10756	0.10799
3.133	0.12309	-0.24692	0.06246
1.965	0.13967	0.04829	0.18875
11.472	2.73179	0.43148	0
13.652	2.0898	0.53018	0.01407
3.267	0.8942	0.1773	0.18945
9.264	0.22162	-0.06935	0.48406
